average;link;captcha;timer;reg;reflink;actual link;pass
250;http://gobisnis.org;reCAPTCHA;;FALSE;;;
250;http://cryptoblox.com;reCAPTCHA;;FALSE;;;
200;http://getfree.co.in;reCAPTCHA;;FALSE;;;
0;http://jackpotfaucet.com;Confident CAPTCHA;;FALSE;;;
200;http://treebitcoin.com;Are You a Human;;FALSE;;;
0;http://ccfaucet.com;reCAPTCHA;;FALSE;;;
0;http://btcfct.tk;reCAPTCHA;;FALSE;;;
200;http://bitcoingate.biz;Solve Media;;FALSE;;;
0;http://23coins.com;reCAPTCHA;;FALSE;;;
200;http://cryptodrips.com;Solve Media;;FALSE;;;
229;http://faucet.9bitz.eu;Solve Media;;FALSE;;;
200;http://getfree-bitcoin.com;Are You a Human;;FALSE;;;
100;http://bitmachine.org;reCAPTCHA;;FALSE;;;
200;http://bitprepay.net;Solve Media;;FALSE;;;
200;http://cityofbitcoin.com;reCAPTCHA;;FALSE;;;
200;http://btc2.rena-faucet.com;Solve Media;;FALSE;;;
0;http://bitcoinxd.com;reCAPTCHA + AYaH;;FALSE;;;
200;http://instantbit.co.in;Solve Media;;FALSE;;;
100;http://bitcoinaliens.com;Solve Media;;FALSE;;;
0;http://bitcoingenie.info;Solve Media;;FALSE;;;
0;http://simplfaucet.com;Are You a Human;;FALSE;;;
0;http://kami-ike.net;reCAPTCHA;;FALSE;;;
0;http://fairyfaucet.com;Solve Media;;FALSE;;;
175;http://leagueofbitcoin.tk;Solve Media;;FALSE;;;
175;http://qoinmicro.tk;Solve Media;;FALSE;;;
0;http://topfaucet.cu.cc;Solve Media;;FALSE;;;
100;http://faucetbox.bitcoinr.cz;reCAPTCHA;;FALSE;;;
0;http://yourcontact.co;reCAPTCHA;;FALSE;;;
100;http://the-never-ending-story.com;reCAPTCHA;;FALSE;;;
200;http://bitkran.ru;Solve Media;;FALSE;;;
100;http://dailyfreebits.com;reCAPTCHA;;FALSE;;;
100;http://datafaucet.info;reCAPTCHA;;FALSE;;;
0;http://999dice.com;none;;FALSE;;;
66;http://coincollecting.ws;Solve Media;;FALSE;;;
150;http://goldsday.com;Solve Media;;FALSE;;;
0;http://lefaucet.com;Solve Media;;FALSE;;;
175;http://lol.lefaucet.com;Solve Media;;FALSE;;;
150;http://next.hebergratuit.net;Are You a Human;;FALSE;;;
150;http://getbitcoins.dixo.net;Solve Media;;FALSE;;;
150;http://satoshibear.com;Solve Media;;FALSE;;;
150;http://kingbit.co.in;reCAPTCHA;;FALSE;;;
150;http://faucet.csingenieros.com;reCAPTCHA;;FALSE;;;
150;http://warhammer-coin.com;Solve Media;;FALSE;;;
150;http://bitwinfaucet.tk;Solve Media;;FALSE;;;
150;http://darcoins.com;Solve Media;;FALSE;;;
150;http://btcgiveaway.com;Solve Media;;FALSE;;;
150;http://cryptoplanet.co;Solve Media;;FALSE;;;
0;http://freebitcoins.nx.tc;Solve Media;;FALSE;;;
0;http://biteacoin.ml;Solve Media;;FALSE;;;
150;http://bitcoinsoldado.com;reCAPTCHA;;FALSE;;;
150;http://bit4surf.com;Solve Media;;FALSE;;;
150;http://topbitco.in;Solve Media;;FALSE;;;
150;http://galaxy.lefaucet.com;Solve Media;;FALSE;;;
150;http://greenbitco.in;reCAPTCHA;;FALSE;;;
154;http://cryptocombo.com;reCAPTCHA;;FALSE;;;
150;http://earnabitco.in;Solve Media;;FALSE;;;
150;http://freebtc-faucet.com;reCAPTCHA;;FALSE;;;
0;http://moonbit.co.in;Solve Media;;FALSE;;;
150;http://bitfaucet4.us;Solve Media;;FALSE;;;
100;http://visitor4.me;reCAPTCHA;;FALSE;;;
0;http://bitcoins4.me;Solve Media;;FALSE;;;
125;http://qoinmicro.tk;Solve Media;;FALSE;;;
120;http://ben10faucet.com;Solve Media;;FALSE;;;
100;http://connectbitco.in;reCAPTCHA;;FALSE;;;
100;http://treasurefaucet.com;Solve Media;;FALSE;;;
100;http://bitcoinshowers.com;Solve Media;;FALSE;;;
50;http://satoshi.chuta.org;reCAPTCHA;;FALSE;;;
101;http://captchas.rocks;Solve Media;;FALSE;;;
100;http://freebitfaucet.com;reCAPTCHA;;FALSE;;;
0;http://dustbit.co.in;reCAPTCHA;;FALSE;;;
150;http://criptof.ru;reClamper;;FALSE;;;
150;http://happyfaucet.org;Solve Media;;FALSE;;;
0;http://bitcoinfaucet.tk;reCAPTCHA;;FALSE;;;
130;http://free-bitcoin-faucet.tk;reCAPTCHA;;FALSE;;;
100;http://luckycoin.me;Solve Media;;FALSE;;;
100;http://businessideas.nl;Solve Media;;FALSE;;;
100;http://bitcoin.imgxd.com;Solve Media;;FALSE;;;
100;http://qoinbox.tk;Solve Media;;FALSE;;;
100;http://aqoinfaucet.tk;Solve Media;;FALSE;;;
100;http://profaucet.net;Captch me;;FALSE;;;
33;http://starsbit.com;Solve Media;;FALSE;;;
100;http://justfreebtc.com;Solve Media;;FALSE;;;
100;http://moneyinpjs.com;Solve Media;;FALSE;;;
100;http://coin.bitdesire.com;reCAPTCHA;;FALSE;;;
120;http://btc.rena-faucet.com;none;;FALSE;;;
100;http://sharkbitco.in;Solve Media;;FALSE;;;
50;http://btc-faucet.com;Are You a Human;;FALSE;;;
100;http://scoopyfaucet.webs.pm;reCAPTCHA;;FALSE;;;
100;http://gofreebitcoin.com;Solve Media;;FALSE;;;
100;http://luckybitfaucet.com;reCAPTCHA;;FALSE;;;
128;http://workrunet.info;Solve Media;;FALSE;;;
100;http://bitcoinfreebees.me;Solve Media;;FALSE;;;
0;http://btc.altcoin.pw;Solve Media;;FALSE;;;
100;http://caribit.co.in;Solve Media;;FALSE;;;
100;http://bitcoin.giftdraw.com;Solve Media;;FALSE;;;
100;http://bitcoinfreebees.me;Solve Media;;FALSE;;;
100;http://bitcostars.com;Are You a Human;;FALSE;;;
100;http:// btcearn.ml;reCAPTCHA;;FALSE;;;
100;http://moneyinpjs.com;Solve Media;;FALSE;;;
100;http://1000satoshi.com;Solve Media;;FALSE;;;
100;http://blog.btcgermany.eu;reCAPTCHA;;FALSE;;;
100;http://spektrumfaucet.mine.nu;reCAPTCHA;;FALSE;;;
50;http://50or500.com;Solve Media;;FALSE;;;
75;http://ourbtcsite.com;reClamper;;FALSE;;;
100;http://rainofcoins.tk;Solve Media;;FALSE;;;
100;http://moonbitcoin.esy.es;reClamper;;FALSE;;;
100;http://mobipayer.ru;Are You a Human;;FALSE;;;
100;http://bitcoinbee.net;reCAPTCHA;;FALSE;;;
100;http://clixincome.com;Solve Media;;FALSE;;;
100;http://freecoins4.me;reClamper;;FALSE;;;
50;http://gameoutlet.biz;Solve Media;;FALSE;;;
0;http://btcgiveaway.3owl.ml;Solve Media;;FALSE;;;
100;http://satoshis4.us;Solve Media;;FALSE;;;
50;http://btcfaucet.co;Are You a Human;;FALSE;;;
100;http://bitcoin-a.pl;Solve Media;;FALSE;;;
25;http://faucet.chuta.org;reCAPTCHA;;FALSE;;;
100;http://mariofaucet.com;Solve Media;;FALSE;;;
100;http://pulpfaucet.com;Solve Media;;FALSE;;;
100;http://breakingfaucet.com;Solve Media;;FALSE;;;
100;http://getfreebitcoins.eu;reCAPTCHA;;FALSE;;;
100;http://jexpotz.com;reCAPTCHA;;FALSE;;;
107;http://thecoinmine.com;Solve Media;;FALSE;;;
100;http://scoremybits.com;Solve Media;;FALSE;;;
100;http://thebitcoinsheep.com;reCAPTCHA;;FALSE;;;
100;http://smallfaucet.pw;Solve Media;;FALSE;;;
100;http://omux2.ru;Solve Media;;FALSE;;;
100;http://shinobifaucet.com;Solve Media;;FALSE;;;
100;http://earnmining.com;Solve Media;;FALSE;;;
100;http://bitcoinreward.comxa.com;Solve Media;;FALSE;;;
100;http://lotofbits.com;reCAPTCHA;;FALSE;;;
100;http://100satoshi.net;Solve Media;;FALSE;;;
0;http://bitfaucet4.us;Solve Media;;FALSE;;;
100;http://myfreebitcoins.org;Solve Media;;FALSE;;;
100;http://pocketcoin.us;Are You a Human;;FALSE;;;
10;http://dailycoins.net;reCAPTCHA;;FALSE;;;
75;http://happyputin.com;Solve Media;;FALSE;;;
100;http://crococoin.com;Are You a Human;;FALSE;;;
64;http://bitcoinfaucet.reallibertymedia.com;reCAPTCHA;;FALSE;;;
100;http://freebtc.in.ua;Solve Media;;FALSE;;;
100;http://500satoshi.ru;Solve Media;;FALSE;;;
100;http://microfaucet.cryptal.net;Solve Media;;FALSE;;;
100;http://buxnama.com;Are You a Human;;FALSE;;;
100;http://biofaucet.com;reCAPTCHA;;FALSE;;;
50;http://payfaucet.com;Solve Media;;FALSE;;;
50;http://hotbitcoins.com;Solve Media;;FALSE;;;
50;http://bestbitcoinfaucet.net;Solve Media;;FALSE;;;
50;http://worldfaucet.com;Solve Media;;FALSE;;;
0;http://btcgiveaway.yzi.me;Solve Media;;FALSE;;;
0;http://faucet.bitcoinsjunkie.org;Solve Media;;FALSE;;;
0;http://getfreebitcoins.ru;none;;FALSE;;;
0;http://bitcoins4you.pw;reCAPTCHA;;FALSE;;;
0;http://xfaucet.cf;reCAPTCHA;;FALSE;;;
0;http://btc-australian.com;Solve Media;;FALSE;;;
0;http://bearbitco.in;Solve Media;;FALSE;;;
0;http://satoshis.gratis;Solve Media;;FALSE;;;
0;http://bitcoinhunters.net;Solve Media;;FALSE;;;
50;http://beefaucet.com;reCAPTCHA;;FALSE;;;
50;http://freebitcoins247.com;Solve Media;;FALSE;;;
100;http://100freebit.com;Solve Media;;FALSE;;;
0;http://futurefaucet.com;reCAPTCHA;;FALSE;;;
100;http://doublebitcoins.com;Are You a Human;;FALSE;;;
0;http://eblackmilk.pl;Solve Media;;FALSE;;;
100;http://bitcoinforyou.tk;Solve Media;;FALSE;;;
90;http://freebitco.info;Solve Media;;FALSE;;;
0;http://satoshiga.ga;reCAPTCHA;;FALSE;;;
100;http://c1d1.com;Solve Media;;FALSE;;;
0;http://bitcoin.tuzik-hole.ru;Solve Media;;FALSE;;;
0;http://bitcoin.guysdomain.com;Solve Media;;FALSE;;;
50;http://100bitcoin.com;reCAPTCHA;;FALSE;;;
0;http://klikcoin.16mb.com;reCAPTCHA;;FALSE;;;
0;http://fast.free-btc.info;reCAPTCHA;;FALSE;;;
0;http://60sek.com;reCAPTCHA;;FALSE;;;
100;http://bit.ksoro.com;Solve Media;;FALSE;;;
100;http://moneyinpjs.com;Solve Media;;FALSE;;;
50;http://bitcoinfast.org;Solve Media;;FALSE;;;
100;http://bitcobox.doublebitcoins.com;reCAPTCHA;;FALSE;;;
64;http://reallibertymedia.com;reCAPTCHA;;FALSE;;;
75;http://zknfaucet.com;Solve Media;;FALSE;;;
75;http://pizzafaucet.com;Solve Media;;FALSE;;;
50;http://forcrypto.com;Solve Media;;FALSE;;;
77;http://btcmountain.com;Solve Media;;FALSE;;;
80;http://bitcoincia.com;Solve Media;;FALSE;;;
20;http://btcbro.com;reCAPTCHA;;FALSE;;;
50;http://77bitcoin.com;Are You a Human;;FALSE;;;
25;http://faucet.bosshippie.com;Solve Media;;FALSE;;;
50;http://bitcoincex.com;Solve Media;;FALSE;;;
88;http://finup.info;reCAPTCHA;;FALSE;;;
75;http://mexxbase.mezzacoins.net;Solve Media;;FALSE;;;
25;http://bitcoin.01g.info;Solve Media;;FALSE;;;
75;http://get-bitcoins.ml;Solve Media;;FALSE;;;
75;http://gibitcoins.me;Solve Media;;FALSE;;;
75;http://nyancoins.260mb.net;Solve Media;;FALSE;;;
50;http://moneyinpjs.com;Solve Media;;FALSE;;;
0;http://kharz.byethost7.com;reCAPTCHA;;FALSE;;;
75;http://bitcoinstarters.com;reClamper;;FALSE;;;
75;http://deasfanara.grn.cc;reCAPTCHA;;FALSE;;;
50;http://yourclicks.info;none;;FALSE;;;
1;http://hourlybitcoins.com;Solve Media;;FALSE;;;
1;http://coin-tap.biz;Solve Media;;FALSE;;;
50;http://faucet.phuk-it.com;reCAPTCHA;;FALSE;;;
75;http://btcforyou.info;Solve Media;;FALSE;;;
50;http://bitcoinflow.me;Solve Media;;FALSE;;;
20;http://bitcoinparty.me;Solve Media;;FALSE;;;
75;http://flyingfaucet.com;Solve Media;;FALSE;;;
80;http://therunningfaucet.com;Solve Media;;FALSE;;;
60;http://getbitcoin.biz;Solve Media;;FALSE;;;
50;http://kami-ike.net;reCAPTCHA;;FALSE;;;
40;http://claimfreebitcoins.com;Solve Media;;FALSE;;;
50;http://arbiame.com;Solve Media;;FALSE;;;
77;http://777btc.cf;Solve Media;;FALSE;;;
75;http://letsgoo.de;Solve Media;;FALSE;;;
50;http://faucet.emoneyroute.com;reCAPTCHA;;FALSE;;;
0;http://btc.rkharz.in;Solve Media;;FALSE;;;
50;http://realfaucet.is-best.net;Solve Media;;FALSE;;;
0;http://darrentapp.com;Solve Media;;FALSE;;;
70;http://crypto-bitcoin-faucet.tk;reCAPTCHA;;FALSE;;;
25;http://allbtc.bissnes.org;reCAPTCHA;;FALSE;;;
50;http://freebitcoins.ml;Solve Media;;FALSE;;;
30;http://freebtcfaucet.com;Solve Media;;FALSE;;;
0;http://gif-it.com;Solve Media;;FALSE;;;
45;http://titaniumbtc.com;Solve Media;;FALSE;;;
25;http://btctap.bissnes.org;Solve Media;;FALSE;;;
25;http://bitcoin.bissnes.net;Solve Media;;FALSE;;;
0;http://bitcoin.neon.org;reCAPTCHA;;FALSE;;;
50;http://superbtcfaucet.com;Solve Media;;FALSE;;;
50;http://coingalaxy.tk;Solve Media;;FALSE;;;
25;http://bit.bissnes.net;Solve Media;;FALSE;;;
25;http://sfreebtc.byethost17.com;Solve Media;;FALSE;;;
68;http://zoneco.in;Solve Media;;FALSE;;;
50;http://moneyinpjs.com;Solve Media;;FALSE;;;
68;http://rankyx.com;Solve Media;;FALSE;;;
0;http://pppfaucet.com;reCAPTCHA;;FALSE;;;
50;http://hotswap.co;Solve Media;;FALSE;;;
50;http://bitcoins.kurai.nl;reCAPTCHA;;FALSE;;;
50;http://cracklaw.ru;Solve Media;;FALSE;;;
60;http://faucet.bodylaw.ru;Solve Media;;FALSE;;;
25;http://gs-bitcoin.ga;Solve Media;;FALSE;;;
51;http://bit.finup.info;reCAPTCHA;;FALSE;;;
50;http://dextopzone.com;Solve Media;;FALSE;;;
50;http://freebit.wc.lt;Solve Media;;FALSE;;;
50;http://bitcoindroplet.com;Solve Media;;FALSE;;;
0;http://sexyfaucet.com;reCAPTCHA;;FALSE;;;
50;http://getbitco.com;Solve Media;;FALSE;;;
50;http://crocodile.honor.es;Solve Media;;FALSE;;;
50;http://bittyfaucet.byethost4.com;reCAPTCHA;;FALSE;;;
50;http://faucet.btc22.gq;reCAPTCHA;;FALSE;;;
0;http://canhasbitcoin.com;reCAPTCHA;;FALSE;;;
0;http://freebitcoins.me;reCAPTCHA;;FALSE;;;
0;http://elbitcoingratis.es;reCAPTCHA;;FALSE;;;
20;http://bit-coin-free.com;Solve Media;;FALSE;;;
50;http://coincompound.com;reCAPTCHA;;FALSE;;;
50;http://faucet.cryptbond.com;Solve Media;;FALSE;;;
40;http://free-bitcoin-faucet.com;Solve Media;;FALSE;;;
50;http://freebiefaucet.com;reCAPTCHA;;FALSE;;;
50;http://freebitcoin.pk;Solve Media;;FALSE;;;
50;http://freebitcoins.eu;Solve Media;;FALSE;;;
50;http://kingbit.co.in;reCAPTCHA;;FALSE;;;
25;http://bitcoin-ace.ir;reCAPTCHA;;FALSE;;;
50;http://idepintar.biz;Solve Media;;FALSE;;;
50;http://coin.giftdraw.com;Solve Media;;FALSE;;;
50;http://mundocrypto.com.ve;Solve Media;;FALSE;;;
50;http://luckyfaucet.cf;Solve Media;;FALSE;;;
50;http://morebitco.doublebitcoins.com;reCAPTCHA;;FALSE;;;
50;http://btc150day.tk;Solve Media;;FALSE;;;
50;http://bitcoiner.website;Solve Media;;FALSE;;;
50;http://moneyinpjs.com;Solve Media;;FALSE;;;
53;http://timemoney.bissnes.net;reCAPTCHA;;FALSE;;;
50;http://hotbitco.in;Solve Media;;FALSE;;;
20;http://bitcoinsurfer.bitcoinula.com;Solve Media;;FALSE;;;
50;http://bitfaucet.eu;Solve Media;;FALSE;;;
50;http://elgaby.tk;Solve Media;;FALSE;;;
50;http://crypto.miikman.com;Solve Media;;FALSE;;;
50;http://bitblogshare.com;Solve Media;;FALSE;;;
0;http://bitcoinfaucet.makebucks.today;reCAPTCHA;;FALSE;;;
50;http://smallbitcoin.doublebitcoins.com;Solve Media;;FALSE;;;
50;http://coinfaucet.biz;Solve Media;;FALSE;;;
50;http://faucet.bitcoinclub.eu;Solve Media;;FALSE;;;
0;http://rabbitcoin.biz;Solve Media;;FALSE;;;
1;http://coin.01g.info;reCAPTCHA;;FALSE;;;
30;http://bestbtcfaucet.com;Solve Media;;FALSE;;;
1;http://coin.bissnes.net;Solve Media;;FALSE;;;
0;http://bitcats.net;reCAPTCHA;;FALSE;;;
0;http://dailybitcoins.org;reCAPTCHA;;FALSE;;;
50;http://faucet.playbitcoingame.com;reCAPTCHA;;FALSE;;;
1;http://coin.bissnes.org;Solve Media;;FALSE;;;
25;http://bitcoingator.com;Solve Media;;FALSE;;;
1;http://doors.galat.org;Solve Media;;FALSE;;;
25;http://faucet.panzetti.com.br;reCAPTCHA;;FALSE;;;
25;http://bitcoinfrax.com;Solve Media;;FALSE;;;
20;http://btcrumor.com;Solve Media;;FALSE;;;
0;http://yourfaucet.allalla.com;reCAPTCHA;;FALSE;;;
10;http://coinfaucet.ga;Solve Media;;FALSE;;;
0;http://freecoins.me;reCAPTCHA;;FALSE;;;
40;http://captchaco.in;Solve Media;;FALSE;;;
10;http://adbiss.net;Solve Media;;FALSE;;;
0;http://videoripper.de;reCAPTCHA;;FALSE;;;
50;http://free-btc.info;reCAPTCHA;;FALSE;;;
0;http://freebtc.bissnes.net;reCAPTCHA;;FALSE;;;
0;http://bitcoinsatoshi.tk;Solve Media;;FALSE;;;
50;http://btc.justfaucet.net;Solve Media;;FALSE;;;
50;http://free50satoshi.com;Solve Media;;FALSE;;;
0;http://ourbtchour.com;Solve Media;;FALSE;;;
0;http://garudabitcoin.t15.org;Solve Media;;FALSE;;;
50;http://freefaucet.cf;Solve Media;;FALSE;;;
10000;http://satoshiprize.com;Solve Media;;FALSE;;;
0;http://free-bitcoin-faucet.foreverco.in;Are You a Human;;FALSE;;;
0;http://btc-fiat.com;none;;FALSE;;;
50;http://cravebit.com;Solve Media;;FALSE;;;
50;http://bitcoinra.in;Solve Media;;FALSE;;;
0;http://bexxpal.com;Solve Media;;FALSE;;;
0;http://owlclix.com;Solve Media;;FALSE;;;
25;http://chptrbit.us;reCAPTCHA;;FALSE;;;
25;http://minmov.sk;Solve Media;;FALSE;;;
1;http://btctap.bissnes.net;reCAPTCHA;;FALSE;;;
25;http://freakfaucet.com;Solve Media;;FALSE;;;
40;http://coinprizes.com;Solve Media;;FALSE;;;
20;http://quickbitcash.bit-coin-free.com;Solve Media;;FALSE;;;
0;http://superfaucet.com;Solve Media;;FALSE;;;
25;http://littlecoiner.com;reCAPTCHA;;FALSE;;;
40;http://btcfaucet.in;reCAPTCHA;;FALSE;;;
0;http://btc.in.ua;Solve Media;;FALSE;;;
0;http://10xbifco.in;reCAPTCHA;;FALSE;;;
1;http://faucet.bitcoinminerz.com;Solve Media;;FALSE;;;
0;http://redcoinsco.aws.af.cm;Solve Media;;FALSE;;;
25;http://bitganancias.com;Solve Media;;FALSE;;;
27;http://77bitcoins.com;reCAPTCHA;;FALSE;;;
30;http://nix.buysellcoin.net;reCAPTCHA;;FALSE;;;
25;http://free-bitcoiner.ru;Are You a Human;;FALSE;;;
25;http://btcbank.ml;Solve Media;;FALSE;;;
23;http://23satoshi.com;Solve Media;;FALSE;;;
20;http://chesimangia.it;Solve Media;;FALSE;;;
1;http://freebitcoin.su;Solve Media;;FALSE;;;
10;http://bitcoin-free.ru;reCAPTCHA;;FALSE;;;
10;http://faucet.ovh;Solve Media;;FALSE;;;
25;http://bitcoinfaucet.rocks;Solve Media;;FALSE;;;
30;http://btc.btcae.net;Are You a Human;;FALSE;;;
15;http://btc-for-free.tk;reCAPTCHA;;FALSE;;;
25;http://microbtc.ml;reCAPTCHA;;FALSE;;;
25;http://smartbitcoin.cf;reCAPTCHA;;FALSE;;;
25;http://faucet.jecool.net;Are You a Human;;FALSE;;;
30;http://ptr2015.servegame.com;reCAPTCHA;;FALSE;;;
1;http://bongbitcoin.com;reCAPTCHA;;FALSE;;;
30;http://green-deal.nu;Solve Media;;FALSE;;;
25;http://blue-faucet.ogsi.it;Solve Media;;FALSE;;;
10;http://faucet.galat.org;Solve Media;;FALSE;;;
0;http://free.btcforyou.info;Solve Media;;FALSE;;;
0;http://dustbinhead.com;Solve Media;;FALSE;;;
10;http://bitcoinearn.org;Solve Media;;FALSE;;;
30;http://gratisbitco.in;reCAPTCHA;;FALSE;;;
0;http://btcbitcoin.tk;Solve Media;;FALSE;;;
20;http://freesatoshi.website;reCAPTCHA;;FALSE;;;
20;http://bitcoinfaucet.club;Solve Media;;FALSE;;;
0;http://myfaucet.likesyou.org;Solve Media;;FALSE;;;
1;http://mmoclub.com;Solve Media;;FALSE;;;
25;http://bitfaucet.1gh.in;Solve Media;;FALSE;;;
10;http://btc.01g.info;reCAPTCHA;;FALSE;;;
5;http://topptc-sites.tk;none;;FALSE;;;
20;http://sunbitco.in;reCAPTCHA;;FALSE;;;
0;http://freebtc4all.com;none;;FALSE;;;
0;http://freebitcoins4u.com;reCAPTCHA;;FALSE;;;
0;http://bitcoins4free.me;reCAPTCHA;;FALSE;;;
0;http://thefreebitcoins.net;reCAPTCHA;;FALSE;;;
0;http://greencoins.org;Solve Media;;FALSE;;;
0;http://thebitcoin.me;Solve Media;;FALSE;;;
0;http://btcmine.net;reCAPTCHA;;FALSE;;;
0;http://nioctib.net;Solve Media;;FALSE;;;
0;http://srbitcoin.com;Solve Media;;FALSE;;;
0;http://virtualfaucet.com;reCAPTCHA;;FALSE;;;
0;http://faucetbtc.com;reCAPTCHA;;FALSE;;;
0;http://bitcoinspain.net;Solve Media;;FALSE;;;
0;http://btc4you.com;reCAPTCHA;;FALSE;;;
0;http://rawbitcoins.com;none;;FALSE;;;
0;http://fr33bitcoins.com;none;;FALSE;;;
0;http://route66traffic.com;Solve Media;;FALSE;;;
10;http://easybitcoins.tk;Solve Media;;FALSE;;;
0;http://virtualfaucet.net;reCAPTCHA;;FALSE;;;
5;http://paidautosurf.net;Solve Media;;FALSE;;;
10;http://beam-it-up.de;reCAPTCHA;;FALSE;;;
0;http://mybtchour.com;Solve Media;;FALSE;;;
20;http://bitcoinx.website;Solve Media;;FALSE;;;
0;http://bitcoin.faucet.fr;reCAPTCHA;;FALSE;;;
1;http://bitcoin.villa-community.com;reCAPTCHA;;FALSE;;;
10;http://btcfine.16mb.com;Are You a Human;;FALSE;;;
0;http://pingas.net;Solve Media;;FALSE;;;
15;http://kav8.com;Solve Media;;FALSE;;;
0;http://alittlebitcoin.2ie.co;reCAPTCHA;;FALSE;;;
15;http://btc.jecool.net;reCAPTCHA;;FALSE;;;
10;http://hybryda2005.pl;reCAPTCHA;;FALSE;;;
10;http://zarabianie-w-sieci.biz.pl;reCAPTCHA;;FALSE;;;
0;http://car-faucet.netne.net;Are You a Human;;FALSE;;;
10;http://satoshi.jecool.net;reCAPTCHA;;FALSE;;;
10;http://coincheckin.com;reCAPTCHA;;FALSE;;;
10;http://btcgiveaway.wink.ws;Solve Media;;FALSE;;;
10;http://webservice.ga;Solve Media;;FALSE;;;
1;http://faucet.omnibot2k.com;reCAPTCHA;;FALSE;;;
5;http://orange-faucet.ogsi.it;Solve Media;;FALSE;;;
5;http://cryptocoinsfaucets.tk;Solve Media;;FALSE;;;
5;http://bitfreefaucet.tk;Solve Media;;FALSE;;;
10;http://mistertrufa.net;Solve Media;;FALSE;;;
5;http://btfree.ru;reCAPTCHA;;FALSE;;;
0;http://littledogsbtc.byethost13.com;Are You a Human;;FALSE;;;
7;http://777.candyfaucet.com;reCAPTCHA;;FALSE;;;
5;http://bitkendari.wilips.com;Are You a Human;;FALSE;;;
2;http://faucet.clixbitco.in;Solve Media;;FALSE;;;
1;http://bit-co.in.ua;reCAPTCHA;;FALSE;;;
